round,period_length,num_subperiods,pure_strategy,payoff1Aa,payoff1Ab,payoff1Ba,payoff1Bb,payoff2Aa,payoff2Ab,payoff2Ba,payoff2Bb
1,90,1,TRUE,8,0,0,2,0,2,2,0
2,90,6,TRUE,8,0,0,2,0,2,2,0
3,90,6,TRUE,3,1,1,7,1,3,2,1
4,90,15,TRUE,3,1,1,7,1,3,2,1
5,90,1,FALSE,3,1,1,7,1,3,2,1
6,90,6,FALSE,3,1,1,7,1,3,2,1
7,90,15,FALSE,8,0,0,2,0,2,2,0
8,90,0,FALSE,8,0,0,2,0,2,2,0
9,90,0,FALSE,8,0,0,2,0,2,2,0
10,90,0,FALSE,8,0,0,2,0,2,2,0
11,90,0,FALSE,0,15,3,9,0,3,15,9
12,90,0,FALSE,0,15,3,9,0,3,15,9
13,90,0,FALSE,3,1,1,7,1,3,2,1
14,90,0,FALSE,3,1,1,7,1,3,2,1
15,90,0,FALSE,3,0,5,1,3,5,0,1
16,90,0,FALSE,3,0,5,1,3,5,0,1
17,90,0,TRUE,8,0,0,2,0,2,2,0
18,90,0,TRUE,8,0,0,2,0,2,2,0
19,90,0,TRUE,0,15,3,9,0,3,15,9
20,90,0,TRUE,0,15,3,9,0,3,15,9
21,90,0,TRUE,3,1,1,7,1,3,2,1
22,90,0,TRUE,3,1,1,7,1,3,2,1
23,90,0,TRUE,3,0,5,1,3,5,0,1
24,90,0,TRUE,3,0,5,1,3,5,0,1
25,90,0,FALSE,8,0,0,2,0,2,2,0
26,90,15,FALSE,8,0,0,2,0,2,2,0
27,90,6,FALSE,3,1,1,7,1,3,2,1
28,90,1,FALSE,3,1,1,7,1,3,2,1
29,90,15,TRUE,3,1,1,7,1,3,2,1
30,90,6,TRUE,3,1,1,7,1,3,2,1
31,90,6,TRUE,8,0,0,2,0,2,2,0
32,90,1,TRUE,8,0,0,2,0,2,2,0
